trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
88,0,88,0,168.76279159996193,,168.73791369993705,5,168.76279159996193,168.76279159996193,0.015092000016011298,170.6333573999582,[0.09333333333333334],[0.38333333333333336],[1],[0],[0],[1.8809711000649258],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
89,0,89,0,170.69703679997474,,170.63564200000837,10,170.69703679997474,170.69703679997474,0.030831700074486434,175.26899739995133,[-0.051666666666666666],[0.08833333333333333],[1],[0],[0],[4.6025567998876795],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
90,0,90,0,175.29868229990825,,175.27187099994626,5,175.29868229990825,175.29868229990825,0.0182411998976022,176.90265079995152,[-0.4666666666666667],[-0.35333333333333333],[1],[0],[0],[1.6128699000691995],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
91,0,91,0,176.9662529999623,,176.90632169996388,10,176.9662529999623,176.9662529999623,0.03355649998411536,181.3216860999819,[-0.008333333333333333],[0.011666666666666667],[1],[0],[0],[4.382281200028956],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
92,0,92,0,181.36770449997857,,181.32404109998606,5,181.36770449997857,181.36770449997857,0.014843499986454844,182.92490629991516,[0.44],[0.425],[1],[0],[0],[1.5863172999816015],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
93,0,93,0,182.98507930000778,,182.92738749994896,10,182.98507930000778,182.98507930000778,0.03385130001697689,184.6728221999947,[-0.38666666666666666],[-0.22],[1],[0],[0],[1.711975899990648],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
94,0,94,0,184.73600359994452,,184.6760691999225,10,184.73600359994452,184.73600359994452,0.036446899990551174,187.5408371000085,[0.325],[0.475],[1],[0],[0],[2.8285830999957398],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
95,0,95,0,187.6036842999747,,187.54317089996766,10,187.6036842999747,187.6036842999747,0.032563299988396466,188.84261579997838,[0.19333333333333333],[-0.30833333333333335],[1],[0],[0],[1.2669408000074327],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
96,0,96,0,188.8870573999593,,188.84508199989796,10,188.8870573999593,188.8870573999593,0.029986700043082237,190.1745242999168,[0.4066666666666667],[0.27666666666666667],[1],[0],[0],[1.29959950002376],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
97,0,97,0,190.23741199995857,,190.17715619993396,10,190.23741199995857,190.23741199995857,0.0331927000079304,192.04293669993058,[-0.15166666666666667],[-0.0033333333333333335],[1],[0],[0],[1.8328805000055581],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
